BRD4,BATF3
BRD4,BAZ2B
BRD4,BCL11B
BRD4,BCL2A1
BRD4,BCL6
BRD4,BDNF-AS
BRD4,BICD1
BRD4,BMPR1A
BRD4,BRD2
BRD4,C11orf49
BRD4,C1orf53
BRD4,C9orf72
BRD4,CACHD1
BRD4,CAMK2D
BRD4,CAMK4
BRD4,CARD11
BRD4,CATSPERE
BRD4,CCDC125
BRD4,CCDC138
BRD4,CCDC30
BRD4,CCDC7
BRD4,CCDC88A
BRD4,CCNT2-AS1
BRD4,CCR7
BRD4,CD109
BRD4,CD200R1
BRD4,CD247
BRD4,CD27
BRD4,CD2AP
BRD4,CD68
BRD4,CD69
BRD4,CD74
BRD4,CD83
BRD4,CD96
BRD4,CDC14A
BRD4,CDC14B
BRD4,CDK1
BRD4,CDK6
BRD4,CDKL1
BRD4,CENPP
BRD4,CEP112
BRD4,CHEK1
BRD4,CMSS1
BRD4,COTL1
BRD4,CPPED1
BRD4,CRADD
BRD4,CRB1
BRD4,CREBBP
BRD4,CTCF
BRD4,CTLA4
BRD4,CTNNB1
BRD4,CTSC
BRD4,CYB561A3
BRD4,CYTOR
BRD4,DDX3Y
BRD4,DDX60L
BRD4,DENND1A
BRD4,DHX57
BRD4,DIPK1A
BRD4,DISP1
BRD4,DLEU1
BRD4,DLG2
BRD4,DLGAP5
BRD4,DOCK8
BRD4,DPH6
BRD4,DPH6-DT
BRD4,DPP4
BRD4,DPYD
BRD4,DPYSL2
BRD4,DSCC1
BRD4,DUSP2
BRD4,DUT
BRD4,DYNC2H1
BRD4,EAF2
BRD4,EEPD1
BRD4,EIF1AY
BRD4,EIF1B-AS1
BRD4,EIF4G3
BRD4,EML5
BRD4,EP300
BRD4,EPB41L2
BRD4,EPHA1-AS1
BRD4,EPS8
BRD4,EPSTI1
BRD4,ERCC8
BRD4,ERN1
BRD4,ESR1
BRD4,ETS1
BRD4,ETV6
BRD4,EVA1C
BRD4,EXT1
BRD4,F5
BRD4,FAAH2
BRD4,FAM126A
BRD4,FAM135A
BRD4,FAM13A
BRD4,FAM168A
BRD4,FAM222B
BRD4,FAM241A
BRD4,FANCC
BRD4,FANK1
BRD4,FBXO32
BRD4,FBXO34
BRD4,FCHSD2
BRD4,FFAR3
BRD4,FGD6
BRD4,FGGY
BRD4,FGL2
BRD4,FHIT
BRD4,FILIP1L
BRD4,FKBP11
BRD4,FLNB
BRD4,FNDC3B
BRD4,FOS
BRD4,FOSL1
