Gene1,Gene2
ATF3,NDOR1
ATF3,NFXL1
ATF3,NPHP1
ATF3,NPM2
ATF3,NRXN1
ATF3,OSCAR
ATF3,PELP1
ATF3,PHB
ATF3,PINX1
ATF3,POC1A
ATF3,POLR2J
ATF3,PPAN
ATF3,PREB
ATF3,PYCR1
ATF3,RAPGEF3
ATF3,RASA4
ATF3,RCAN1
ATF3,RUSC1
ATF3,SCAF1
ATF3,SCNM1
ATF3,SCO2
ATF3,SLC16A13
ATF3,SLC25A10
ATF3,SLC31A2
ATF3,SLC35B2
ATF3,TAF1
ATF3,TCN2
ATF3,THYN1
ATF3,TMEM79
ATF3,TSR3
ATF3,UBXN1
ATF3,WDR6
ATF3,WDR74
ATF3,WRAP53
ATF3,YBX1
ATF3,ZBBX
ATF3,ZBTB40
ATF3,ZEB1
ATF3,ZMAT5
ATF3,ZMYM1
ATF3,ZMYND12
ATF3,ZNF143
ATF3,ZNF207
ATF3,ZNF384
ATF3,ZNF501
ATF3,ZZZ3
ATF7,AAAS
ATF7,ABHD16A
ATF7,ACOT8
ATF7,ACP2
ATF7,ACSM3
ATF7,ACTR3C
ATF7,ADAMTS13
ATF7,AGMO
ATF7,ALDH16A1
ATF7,ALDH6A1
ATF7,ANXA2R
ATF7,AP3S2
ATF7,AP5S1
ATF7,APOC1
ATF7,ARHGEF17
ATF7,ARNT
ATF7,ASPM
ATF7,ATF2
ATF7,ATF3
ATF7,ATF7
ATF7,B3GNT7
ATF7,BACH1
ATF7,BATF
ATF7,BCLAF1
ATF7,BHLHE40
ATF7,BLOC1S1
ATF7,BRCA1
ATF7,BRD4
ATF7,C11orf65
ATF7,C1orf127
ATF7,C20orf96
ATF7,C22orf46
ATF7,C3orf18
ATF7,C6orf99
ATF7,CBX5
ATF7,CCDC159
ATF7,CCNB3
ATF7,CD160
ATF7,CD52
ATF7,CD96
ATF7,CDIP1
ATF7,CDK5
ATF7,CEBPB
ATF7,CEBPZ
ATF7,CENPF
ATF7,CHD4
ATF7,CHRNA6
ATF7,CLN3
ATF7,CLPP
ATF7,CLUAP1
ATF7,CNPY4
ATF7,CRB1
ATF7,CREB3L2
ATF7,CREB5
ATF7,CREM
ATF7,CTBP1
ATF7,DBNDD1
ATF7,DDIT3
ATF7,DIAPH3
ATF7,DNAJB2
ATF7,DPCD
ATF7,DRAM1
ATF7,DUSP23
ATF7,E4F1
ATF7,EBF1
ATF7,EED
ATF7,EFHB
ATF7,EGR1
ATF7,EGR3
ATF7,EIF2AK3
ATF7,ELF1
ATF7,ENPP2
ATF7,EP300
ATF7,EREG
ATF7,ESRRA
ATF7,ETS1
ATF7,EVI2A
ATF7,FAM161B
ATF7,FAM3A
ATF7,FBXO15
ATF7,FBXO36
ATF7,FCHO1
ATF7,FCRL5
ATF7,FHAD1
ATF7,FKBPL
ATF7,FLRT3
ATF7,FOS
ATF7,FOSB
ATF7,FOSL2
ATF7,FRMD4A
ATF7,GATAD2B
ATF7,GCHFR
ATF7,GDF9
ATF7,GEMIN7
ATF7,GGT5
ATF7,GLB1L
ATF7,GLCCI1
ATF7,GLI1
ATF7,GS1-124K5.4
ATF7,GTF2H4
ATF7,HCFC1
ATF7,HCG20
ATF7,HDAC2
ATF7,HDAC6
ATF7,HMGCL
ATF7,HPCAL1
ATF7,HTRA2
ATF7,IBA57
ATF7,IFNG
ATF7,IGSF8
ATF7,IL10
ATF7,IL1R1
ATF7,IL4
ATF7,ING4
ATF7,INO80B
ATF7,IPO4
ATF7,IRF3
ATF7,IRF4
ATF7,JUND
ATF7,KCNN2
ATF7,KCTD16
ATF7,KDM1A
ATF7,KDM7A
ATF7,KLF9
ATF7,KLHDC9
ATF7,LARP7
ATF7,LDB3
ATF7,LETM2
ATF7,LILRB4
ATF7,LINC00431
ATF7,LIPT1
ATF7,LMNA
ATF7,LRRC43
ATF7,LZTFL1
ATF7,LZTS3
ATF7,MAGIX
ATF7,MAK
ATF7,MAP1LC3B2
ATF7,MAP3K10
ATF7,MAX
ATF7,MBLAC1
ATF7,MDK
ATF7,MEA1
ATF7,MED1
ATF7,MEF2A
ATF7,MEF2C
ATF7,MIR155HG
ATF7,MNT
ATF7,MRPS17
ATF7,MRPS26
ATF7,MRPS33
ATF7,MTA2
ATF7,MTA3
ATF7,MTFP1
ATF7,MXD3
ATF7,MXI1
ATF7,NBN
ATF7,NEAT1
ATF7,NEDD9
ATF7,NEK8
ATF7,NFKB1
ATF7,NFKB2
ATF7,NFXL1
ATF7,NIP7
ATF7,NME6
ATF7,NOS1AP
ATF7,NR2C1
ATF7,NRSN2
ATF7,NSMF
ATF7,NXT1
ATF7,OCEL1
ATF7,OGFOD2
ATF7,OGFRL1
ATF7,ORAI3
ATF7,ORMDL2
ATF7,OSCAR
ATF7,PCDH1
ATF7,PDE1A
ATF7,PDE4D
ATF7,PDLIM2
ATF7,PGAP2
ATF7,PHB
ATF7,PINX1
ATF7,PKIB
ATF7,PKNOX1
ATF7,PLEKHG7
ATF7,PLOD3
ATF7,POC1A
ATF7,POU2F2
ATF7,PPAN
ATF7,PPFIA3
ATF7,PPM1M
ATF7,PPOX
ATF7,PPP2R5B
ATF7,PPT2-EGFL8
ATF7,PRDM15
ATF7,PRRT3
ATF7,PTK2
ATF7,RABGAP1L
ATF7,RAD51
ATF7,RAVER1
ATF7,RBMS2
ATF7,RBP5
ATF7,RBPJ
ATF7,RCAN1
ATF7,REL
ATF7,RELA
ATF7,RFX5
ATF7,RHEBL1
ATF7,RHOG
ATF7,RNF180
ATF7,RNF31
ATF7,RPS17
ATF7,RRNAD1
ATF7,RTEL1
ATF7,RUNX3
ATF7,RUVBL2
ATF7,S1PR2
ATF7,SAMSN1
ATF7,SARS2
ATF7,SASH1
ATF7,SCAF1
ATF7,SCG2
ATF7,SCNM1
ATF7,SERTAD1
ATF7,SERTAD3
ATF7,SH2D2A
ATF7,SHF
ATF7,SKIL
ATF7,SLAMF1
ATF7,SLC22A4
ATF7,SLC25A39
ATF7,SLC25A45
ATF7,SLC35B2
ATF7,SLC44A2
ATF7,SLC6A16
ATF7,SLC8B1
ATF7,SMC1A
ATF7,SMC3
ATF7,SMIM6
ATF7,SNTB1
ATF7,SP1
ATF7,SPATC1L
ATF7,SPI1
ATF7,SREBF1
ATF7,SRF
ATF7,STAG1
ATF7,STAT1
ATF7,STAT3
ATF7,STAT5A
ATF7,STOML2
ATF7,SWI5
ATF7,SYN1
ATF7,SYT11
ATF7,SYVN1
ATF7,TAGAP
ATF7,TARDBP
ATF7,TBP
ATF7,TCF3
ATF7,TECPR2
ATF7,TESK1
ATF7,THAP3
ATF7,THYN1
ATF7,TLCD1
ATF7,TMEM102
ATF7,TMEM179B
ATF7,TMEM234
