Gene1,Gene2
ARID1B,ORC2
ARID1B,OXSM
ARID1B,PADI4
ARID1B,PAGR1
ARID1B,PARP3
ARID1B,PBX2
ARID1B,PCM1
ARID1B,PCOLCE
ARID1B,PCSK4
ARID1B,PEF1
ARID1B,PHB
ARID1B,PHB2
ARID1B,PHF7
ARID1B,PHF8
ARID1B,PHTF2
ARID1B,PI4KA
ARID1B,PICALM
ARID1B,PICK1
ARID1B,PIGO
ARID1B,PIGP
ARID1B,PKP4
ARID1B,PLEKHG6
ARID1B,PLTP
ARID1B,PNCK
ARID1B,PNISR
ARID1B,POLA1
ARID1B,PPP1R1C
ARID1B,PPP1R3B
ARID1B,PRAME
ARID1B,PRDM1
ARID1B,PRELID2
ARID1B,PRPF4
ARID1B,PRPF40A
ARID1B,PRRC2C
ARID1B,PRSS3
ARID1B,PSMA1
ARID1B,PSMB9
ARID1B,PTGES3L
ARID1B,RABGAP1L
ARID1B,RAD51
ARID1B,RBBP5
ARID1B,RBFOX2
ARID1B,RBKS
ARID1B,RBM22
ARID1B,RBM25
ARID1B,RBM34
ARID1B,RBM39
ARID1B,RFX5
ARID1B,RFXANK
ARID1B,RGS2
ARID1B,RHD
ARID1B,RHEBL1
ARID1B,RIF1
ARID1B,RLF
ARID1B,RNF43
ARID1B,RPL11
ARID1B,RRAGB
ARID1B,RSRC1
ARID1B,RUVBL2
ARID1B,RWDD2B
ARID1B,S100Z
ARID1B,SAFB2
ARID1B,SDSL
ARID1B,SETD9
ARID1B,SETDB1
ARID1B,SFPQ
ARID1B,SHOX2
ARID1B,SIRT1
ARID1B,SIRT6
ARID1B,SIX5
ARID1B,SLC24A1
ARID1B,SLC25A38
ARID1B,SLC25A45
ARID1B,SLC30A9
ARID1B,SLC35A1
ARID1B,SLC35C1
ARID1B,SMAD3
ARID1B,SMARCA5
ARID1B,SMDT1
ARID1B,SNIP1
ARID1B,SNRNP70
ARID1B,SNX17
ARID1B,SOS1
ARID1B,SOX6
ARID1B,SPATA5
ARID1B,SPATA6L
ARID1B,SPI1
ARID1B,SRF
ARID1B,SRSF1
ARID1B,SRSF11
ARID1B,SRSF3
ARID1B,SRSF7
ARID1B,SSBP1
ARID1B,SSX1
ARID1B,STAT1
ARID1B,STAT2
ARID1B,STX16-NPEPL1
ARID1B,STYK1
ARID1B,SUPT5H
ARID1B,TAF15
ARID1B,TAF1D
ARID1B,TAF6
ARID1B,TAF7
ARID1B,TAL1
ARID1B,TARBP2
ARID1B,TARDBP
ARID1B,TBL1X
ARID1B,TFAM
ARID1B,TFAP2A
ARID1B,TFCP2
ARID1B,TFE3
ARID1B,THAP1
ARID1B,THAP3
ARID1B,THAP5
ARID1B,THAP8
ARID1B,THRAP3
ARID1B,TMCC2
ARID1B,TMEM216
ARID1B,TNFRSF19
ARID1B,TNIK
ARID1B,TOE1
ARID1B,TOX4
ARID1B,TRAPPC4
ARID1B,TRIM16L
ARID1B,TRIM28
ARID1B,TRIM68
ARID1B,TRIQK
ARID1B,TRPS1
ARID1B,TSC22D3
ARID1B,TSC22D4
ARID1B,TSPAN31
ARID1B,U2AF1
ARID1B,U2SURP
ARID1B,UBASH3A
ARID1B,UBOX5
ARID1B,UBR4
ARID1B,UBR5
ARID1B,USF1
ARID1B,VPS13B
ARID1B,VPS33B
ARID1B,VWA5A
ARID1B,VWDE
ARID1B,WNT10B
ARID1B,WWOX
ARID1B,YIF1A
ARID1B,ZBTB26
ARID1B,ZBTB40
ARID1B,ZC3H4
ARID1B,ZCCHC7
ARID1B,ZEB2
ARID1B,ZFYVE19
ARID1B,ZKSCAN3
ARID1B,ZKSCAN8
ARID1B,ZMYM3
ARID1B,ZNF133
ARID1B,ZNF148
ARID1B,ZNF165
ARID1B,ZNF174
ARID1B,ZNF184
ARID1B,ZNF212
ARID1B,ZNF239
ARID1B,ZNF24
ARID1B,ZNF250
ARID1B,ZNF253
ARID1B,ZNF263
ARID1B,ZNF277
ARID1B,ZNF280B
ARID1B,ZNF281
ARID1B,ZNF282
ARID1B,ZNF3
ARID1B,ZNF311
ARID1B,ZNF324
ARID1B,ZNF35
ARID1B,ZNF354B
